行政區,型式,停車場名稱,停車場位置,座標-經度,座標-緯度,大型車,小型車,機車,腳踏車,收費標準,備  註
茄萣區,立體,興達(立體),民族路51號,120.1943284,22.87171165,,140,,,小型車10元/小時,俥亭停車事業股份有限公司/服務電話：(07)6989439/履約期間:108.12.17-112.9.30
茄萣區,平面,興達(平面),濱海路一段(興達漁市旁),120.192959,22.8685254,15,140,,,大型車計次100元/6小時；小型車50元/6小時,俥亭停車事業股份有限公司/服務電話:(07)6989640/履約期間:108.10.1-112.9.30
茄萣區,平面,崎漏,漁港路旁 ,120.191209,22.873595,,41,,,不收費,
茄萣區,平面,金興,金鑾路、仁愛路,120.184925,22.89604567,,149,,,不收費,
湖內區,平面,中山,大湖夜市旁,120.242578,22.884975,,28,,,不收費,
路竹區,平面,停二,延平路及中和街交叉口,120.256633,22.858268,,42,,,不收費,
路竹區,平面,停四,民強街及民富街交叉口,120.26285,22.854027,,34,37,,不收費,
路竹區,平面,竹東,中正路106號對面,120.262748,22.856146,,34,,,計次30元/6小時(08：00~20：00),
永安區,平面,烏樹林,永安區公所對面,120.224527,22.817869,,12,,,不收費,
田寮區,平面,狗氤氳段,大群土雞城旁,120.391603,22.886666,,22,,,不收費,
阿蓮區,平面,如意公園,大崗山入口意象園區(台19甲末端附近),120.33422,22.852038,,247,,,不收費,
阿蓮區,平面,大岡山第二,大崗山入口意象園區(台19甲末端附近),120.334377,22.852303,10,0,187,,不收費,
阿蓮區,平面,南連段963,忠孝路警察局旁邊空地,120.329948,22.879128,,26,,,不收費,
阿蓮區,平面,德宜段,文學一街與成功街德宜自辦重劃區,120.332282,22.884719,,36,,,不收費,
大社區,平面,大社停一,區公所對面自強街,120.346801,22.730015,,28,,,計次30元/6小時(08：00~20：00),
大社區,平面,觀音山停七,觀音山旁,120.370916,22.72809,,64,26,,計次50元/6小時(週六、日及國定假日08：00~20：00),
大社區,平面,觀音山停八,停七對面,120.370505,22.728027,,44,,,計次50元/6小時(週六、日及國定假日08：00~20：00),
大樹區,平面,統嶺社區,佛光山寺對面,120.4482316,22.75631413,,482,,,例假日及國定假日計時15元/半小時，平日計次30元/6小時（08：00~20：00）,佛光山寺認養
大樹區,平面,統嶺社區南側,佛陀紀念館入口對面,120.4492944,22.7514481,,1116,,,例假日及國定假日計時15元/半小時，平日計次30元/6小時（08：00~20：00）,佛光山寺認養
大樹區,平面,大樹舊鐵橋,大樹舊鐵橋濕地生態公園園區內西北側,120.427514,22.665424,,154,,,計次30元/6小時(08：00~20：00),
大樹區,平面,九曲堂,久堂路、新社街,120.418761,22.658123,,46,,,計次30元/6小時(08：00~20：00),
旗山區,平面,旗山轉運站,旗山轉運站旁,120.4847601,22.88419394,,15,177,20,小型車計次30元/6小時、機車10元/日,和雲行動服務股份有限公司/服務電話:0800-024550；(02)25171453/履約期間:109.4.1-114.3.31
旗山區,平面,旗山體育場,旗山體育場旁,120.480725,22.887265,,20,,,例假日及國定假日計時15元/半小時，平日計次30元/6小時(08:00-20:00),
旗山區,平面,旗山老街觀光,美濃溪高灘地,120.485622,22.888282,,300,,,不收費,
美濃區,平面,雙峰公園,高雄客運對面,120.542078,22.901584,,45,13,,不收費,
美濃區,平面,泰安,高雄客運對面泰安路旁,120.542015,22.902712,10,61,,,不收費,
甲仙區,平面,停二,成功洗衣店旁,120.587394,23.082262,,17,,,不收費,
甲仙區,平面,大愛,高雄市甲仙區小林社區發展協會旁,120.635224,23.150325,,13,,,不收費,
甲仙區,平面,甲仙,林森路70號旁,120.587988,23.082862,,18,,,不收費,
杉林區,平面,日光小林社區,日光三街旁(12席)街底土地公廟旁（5席）,120.554136,22.980929,,15,,,不收費,
岡山區,立體,岡山(立體),岡山區大仁北路3號,120.301913,22.800222,,154,,,計次20元 、月票900元,服務電話：(07)621-4039
岡山區,平面,岡山(平面),岡山路&民有路口,120.2962505,22.79179255,,177,59,29,小型車計次30元/6小時,中工公寓大廈管理維護有限公司/服務電話:0800-618198/履約期間:105.4.1-110.3.31
岡山區,平面,岡山戶政旁,區公所後方,120.294407,22.797346,,57,,,計次30元/6小時(08：00~20：00),
岡山區,平面,中華路圓環,中華路與民族路交岔口西北側,120.288066,22.793843,,20,,,計次30元/6小時(08：00~20：00),
岡山區,平面,和平公園附設,大德一路、竹圍東路,120.30383,22.797501,,22,,,計次30元/6小時(08：00~20：00),
橋頭區,平面,仕興,大豐路旁,120.30965,22.749817,,32,,,不收費,
橋頭區,平面,建樹,活動中心後面,120.224527,22.817869,,31,,,不收費,
彌陀區,平面,彌陀公園,中正西路與中正北路交叉口,120.246585,22.78443,,33,13,,不收費,
梓官區,平面,嘉好路,嘉好路26巷旁,120.259252,22.731726,,7,,,不收費,
梓官區,平面,蚵仔寮,漁港一路&港七街口旁(漁市場對面),120.2553358,22.72743331,,94,72,,小型車計時15元/半小時,竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:108.8.6-113.7.31
楠梓區,路邊,都會公園,德民路、高楠公路、監理南街,120.320034,22.73141176,36,287,281,,不收費,
楠梓區,路邊,青埔溝,楠梓新路至建楠路,120.32667,22.728818,,190,209,,計次30元/6小時(08：00~20：00),
楠梓區,路邊,後昌路北側機車,左楠路至後昌路546巷,120.3012219,22.70791578,,,58,,不收費,
